,2D bin minimum (au),2D bin maximum (au),3D distance (au),u 3D distance (au),3D distance kink (au),u 3D distance kink (au),Mass wo kink (Msun),u Mass wo kink (Msun),Mass w kink (Msun),u Mass w kink (Msun),"t_ff streamline (yr, M_env = 0.39 Msun)","u t_ff streamline (yr, M_env = 0.39 Msun)","t_ff streamline kink (yr, M_env = 0.39 Msun)","u t_ff streamline kink (yr, M_env = 0.39 Msun)","t_ff theory (yr, M_env = 0.39 Msun)",Mdot wo kink (Msun yr-1),u Mdot wo kink (Msun yr-1),Mdot w kink (Msun yr-1),u Mdot w kink (Msun yr-1)
0,0.0,360.0,275.0,10.0,275.0,10.0,0.0011226565144302277,6.952445089112239e-05,0.0011226565144302277,6.952445089112239e-05,203.3164813153635,13.858946364535683,203.3164813153635,13.858946364535683,214.4237087454643,5.521719179710173e-06,5.085238566947978e-07,5.521719179710173e-06,5.085238566947978e-07
1,180.0,540.0,405.0,10.0,405.0,10.0,0.0013374090954047769,8.055679372586602e-05,0.0013374090954047769,8.055679372586602e-05,395.42998759539563,15.581002657876866,395.42998759539563,15.581002657876866,388.1339724050862,3.382164067873414e-06,2.4343694534829587e-07,3.382164067873414e-06,2.4343694534829587e-07
2,360.0,720.0,595.0,10.0,595.0,10.0,0.0010199256711189905,7.809294718170686e-05,0.0010199256711189905,7.809294718170686e-05,716.0812583274278,18.12274262603171,716.0812583274278,18.12274262603171,704.6882248318288,1.4243155497481684e-06,1.148589847911302e-07,1.4243155497481684e-06,1.148589847911302e-07
3,540.0,900.0,785.0,10.0,785.0,10.0,0.000795785780982454,8.022459383425725e-05,0.000795785780982454,8.022459383425725e-05,1080.1847894413831,20.17013918051589,1080.1847894413831,20.17013918051589,1089.9446275264092,7.367126335800322e-07,7.553260630883145e-08,7.367126335800322e-07,7.553260630883145e-08
4,720.0,1080.0,935.0000000000001,10.000000000000114,945.0,9.999999999999886,0.0005919941954617183,8.347340411247515e-05,0.0006535336391468641,8.733258691192331e-05,1395.3396348679084,21.72634262259203,1417.1654898858835,21.825855017975073,1441.0748483889854,4.242653047820577e-07,6.018664134371306e-08,4.6115548523517146e-07,6.203275355068538e-08
5,900.0,1260.0,1095.0000000000002,10.000000000000227,1105.0,9.999999999999773,0.00030850644527496187,7.621963147242547e-05,0.0007047693898878976,0.0001002920758490635,1756.173606737914,23.262539730321123,1779.5283620103532,23.354755272439206,1861.4107754462862,1.7566967416621838e-07,4.3463301246783304e-08,3.960427970317437e-07,5.6597969313885716e-08
6,1080.0,1440.0,1325.0,10.0,1255.0,10.0,0.0001526430221183015,6.175008268943143e-05,0.0010023117261433406,0.00011227354212758345,2315.886887055379,25.371467811629827,2140.6517978789566,24.691684534031538,2551.020906254604,6.591125973012662e-08,2.6673462485964972e-08,4.6822735352684225e-07,5.272563887164842e-08
7,1260.0,1620.0,1555.0,10.0,1425.0,10.0,0.000168589719377305,5.677388632435185e-05,0.0012933298038710502,0.00011657857335549986,2920.0006651526464,27.13748335672608,2573.319212146812,26.11138055664651,3347.928594379929,5.7736192114357544e-08,1.9450510043440772e-08,5.025920600002359e-07,4.558894338753248e-08
8,1440.0,1800.0,1745.0,10.0,1615.0000000000002,10.0,0.0005084689507042683,7.78738287786772e-05,0.0016155309231096465,0.00012148027115134367,3449.948725967925,28.62903037976821,3084.432981417319,27.595487244747346,4095.3072542759933,1.473844949859686e-07,2.2605570147067312e-08,5.237691766501921e-07,3.966275013740868e-08
9,1620.0,1980.0,1875.0,10.0,1795.0,10.0,0.0010495103751390479,0.00010230405164803351,0.0016453872129390667,0.0001216781667184306,3827.6860312148706,29.47944715070207,3593.813190818268,28.916096124441083,4658.245175228837,2.7418925339755294e-07,2.681068068533068e-08,4.578388262202443e-07,3.40574915382278e-08
10,1800.0,2160.0,2034.9999999999995,9.999999999999773,2015.0,9.999999999999773,0.0012838839351933871,0.00011451623718353349,0.0013824936819845236,0.00011800514201468187,4308.663952213883,30.56681279064287,4247.59753634313,30.43357035817371,5415.513857527999,2.979772731019555e-07,2.666206624538787e-08,3.2547661828967657e-07,2.787932336568667e-08
11,1980.0,2340.0,2225.0,10.0,2225.0,10.0,0.0014157196931420609,0.00012337720324035392,0.0014157196931420609,0.00012337720324035392,4901.814929445079,31.79533181786428,4901.814929445079,31.79533181786428,6420.717001822242,2.8881541092828055e-07,2.523932019252819e-08,2.8881541092828055e-07,2.523932019252819e-08
12,2160.0,2520.0,2405.0,10.0,2405.0,10.0,0.0016999143636950392,0.00013053712720802313,0.0016999143636950392,0.00013053712720802313,5484.7364298968905,32.96385391160038,5484.7364298968905,32.96385391160038,7500.431052036688,3.09935470085478e-07,2.3872856833991262e-08,3.09935470085478e-07,2.3872856833991262e-08
13,2340.0,2700.0,2585.0,10.0,2585.0,10.0,0.001963430216256222,0.00013566086192939942,0.001963430216256222,0.00013566086192939942,6087.142013644351,34.02210240838576,6087.142013644351,34.02210240838576,8736.90104564665,3.225537061325637e-07,2.235926048453089e-08,3.225537061325637e-07,2.235926048453089e-08
14,2520.0,2880.0,2765.0,10.0,2765.0,10.0,0.0021351376275106017,0.00014191601590555315,0.0021351376275106017,0.00014191601590555315,6708.205475538457,34.980761025429274,6708.205475538457,34.980761025429274,10183.878097284607,3.182874518820874e-07,2.122059314686185e-08,3.182874518820874e-07,2.122059314686185e-08
15,2700.0,3060.0,2925.0,10.0,2925.0,10.0,0.0019309681599176346,0.0001411305777801005,0.0019309681599176346,0.0001411305777801005,7275.311007195791,35.849036792555125,7275.311007195791,35.849036792555125,11727.017982835894,2.6541383014523673e-07,1.9442598730281494e-08,2.6541383014523673e-07,1.9442598730281494e-08
