,2D bin minimum (au),2D bin maximum (au),3D distance kink (au),u 3D distance kink (au),Mass w kink (Msun),u Mass w kink (Msun),"t_ff streamline kink (yr, M_env = 0.18 Msun)","u t_ff streamline kink (yr, M_env = 0.18 Msun)","deltat_ff streamline (yr, M_env = 0.18 Msun)",Mdot_in w kink (Msun yr-1),u Mdot_in w kink (Msun yr-1)
0,200.0,560.0,435.0,10.0,0.0012716867682976262,1.4810571914610509e-05,280.81624316982436,16.70160366031638,601.7858241929331,2.1131883091515336e-06,2.4611034888489197e-08
1,380.0,740.0,625.0,10.0,0.0010009170915984116,1.425649508451353e-05,622.1777585938443,19.066800018951994,678.3879508219934,1.475434654146811e-06,2.1015253981500014e-08
2,560.0,920.0,795.0,10.0,0.0007995887708829334,1.4429350732673915e-05,963.747968315144,20.974020873969152,767.2415529439619,1.04216040934547e-06,1.880678995722722e-08
3,740.0,1100.0,965.0,10.0,0.0006247796174604919,1.5216635206886752e-05,1336.1169210182022,22.705635597532137,807.3167429857554,7.738965194129707e-07,1.884840781402603e-08
4,920.0,1280.0,1125.0,10.0,0.0007430709260926911,1.775145733815927e-05,1712.2787734093135,24.20147402440898,864.9508716011951,8.590903258090484e-07,2.0523081623465857e-08
5,1100.0,1460.0,1275.0,10.0,0.0010515415935503953,1.9821227619364643e-05,2085.834218275043,25.504357655718195,942.733148936828,1.1154180742835621e-06,2.1025279148949127e-08
6,1280.0,1640.0,1445.0,10.0,0.0012722840814763097,2.0286195321856913e-05,2531.943535074477,26.88183736071187,993.4390902233258,1.2806865503855897e-06,2.042017021627019e-08
7,1460.0,1820.0,1645.0,10.0,0.001651289750348253,2.1756322265147846e-05,3085.5756527051212,28.386978863117747,1010.622573730763,1.6339331747285593e-06,2.1527643287081262e-08
8,1640.0,2000.0,1814.9999999999998,10.0,0.0016466962120409102,2.1717903662005653e-05,3579.01066264542,29.5818989609852,1053.8205433938444,1.5625964234268018e-06,2.06087305833523e-08
9,1820.0,2180.0,2045.0,10.0,0.001353565743808545,2.0912345601641197e-05,4277.741145818452,31.092523768368665,1124.6225648824873,1.2035733463608569e-06,1.8594990225744172e-08
10,2000.0,2360.0,2245.0,10.0,0.0014326593709187002,2.2013640059122786e-05,4912.601156292445,32.319640122867895,1164.2380317448324,1.2305553777276864e-06,1.8908195282137585e-08
11,2180.0,2540.0,2435.0,10.0,0.0017324011891479208,2.3529314535321028e-05,5537.773713721094,33.42020716085153,1201.8011013736834,1.4415040784766719e-06,1.9578376578642285e-08
12,2360.0,2720.0,2604.9999999999995,10.0,0.002008091601790899,2.4900012927265522e-05,6114.4022576661255,34.356207071759854,1237.5186574764418,1.6226758196000178e-06,2.0120919209445972e-08
13,2540.0,2900.0,2785.0,10.0,0.0021362685850400565,2.6029824895788586e-05,6741.872164036682,35.30258341420085,1271.5641077320581,1.6800321525670237e-06,2.0470713774876023e-08
14,2720.0,3080.0,2935.0,10.0,0.0018467228171924548,2.529337522584454e-05,7277.493914245333,36.05871969610962,1267.0127723990352,1.457540805761384e-06,1.9962999408405804e-08
