,2D bin minimum (au),2D bin maximum (au),3D distance (au),u 3D distance (au),3D distance kink (au),u 3D distance kink (au),Mass wo kink (Msun),u Mass wo kink (Msun),Mass w kink (Msun),u Mass w kink (Msun),"t_ff streamline (yr, M_env = 0.39 Msun)","u t_ff streamline (yr, M_env = 0.39 Msun)","t_ff streamline kink (yr, M_env = 0.39 Msun)","u t_ff streamline kink (yr, M_env = 0.39 Msun)","deltat_ff streamline (yr, M_env = 0.39 Msun)",Mdot_in wo kink (Msun yr-1),u Mdot_in wo kink (Msun yr-1),Mdot_in w kink (Msun yr-1),u Mdot_in w kink (Msun yr-1)
0,0.0,360.0,275.0,10.0,275.0,10.0,0.0011226565144302277,1.3289088693572964e-05,0.0011226565144302277,1.3289088693572964e-05,203.3164813237147,13.858948402004842,203.3164813237147,13.858948402004842,459.08171336704004,2.4454394103314096e-06,2.8947109646574434e-08,2.4454394103314096e-06,2.8947109646574434e-08
1,180.0,540.0,405.0,10.0,405.0,10.0,0.0013374090954047769,1.5078610742037603e-05,0.0013374090954047769,1.5078610742037603e-05,395.42998578398607,15.58100254222876,395.42998578398607,15.58100254222876,581.3498505644455,2.300523676244617e-06,2.5937240247670898e-08,2.300523676244617e-06,2.5937240247670898e-08
2,360.0,720.0,595.0,10.0,595.0,10.0,0.0010199256711189905,1.4206572543301915e-05,0.0010199256711189905,1.4206572543301915e-05,716.0812588248322,18.002480359280867,716.0812588248322,18.002480359280867,661.7658308341065,1.541218394176457e-06,2.146767312751036e-08,1.541218394176457e-06,2.146767312751036e-08
3,540.0,900.0,785.0,10.0,785.0,10.0,0.0007957857809824539,1.4208417363605218e-05,0.0007957857809824539,1.4208417363605218e-05,1080.1848282690105,20.170139072083202,1080.1848282690105,20.170139072083202,734.6470833961346,1.0832218611740575e-06,1.9340466578758326e-08,1.0832218611740575e-06,1.9340466578758326e-08
4,720.0,1080.0,935.0,10.0,945.0,10.0,0.0005919941954617182,1.4521829805060786e-05,0.0006535336391468641,1.5196884943568228e-05,1395.3396857513985,21.726354448325537,1417.165546828118,21.825861076719548,776.8244312277379,7.620694865712405e-07,1.869383765661136e-08,8.412887299566287e-07,1.9562830843965867e-08
5,900.0,1260.0,1095.0,10.0,1105.0,10.0,0.00030850644527496187,1.3110186599467733e-05,0.0007047693898878976,1.7364178356106334e-05,1756.1736280032353,23.262529854293916,1779.5283850626586,23.354757059423264,835.8039152266575,3.691134243984721e-07,1.5685720490926925e-08,8.432233650123243e-07,2.07754211720789e-08
6,1080.0,1440.0,1325.0,10.0,1255.0,10.0,0.0001526430221183015,1.0579761855900911e-05,0.0010023117261433406,1.9549360541332082e-05,2315.8869687628653,25.28766244433382,2140.6518277469,24.691686079155716,914.2435295834963,1.6696100894237816e-07,1.1572148463244531e-08,1.0963290345625587e-06,2.1383099697996463e-08
7,1260.0,1620.0,1555.0,10.0,1425.0,10.0,0.00016858971937730495,9.772101473317817e-06,0.00129332980387105,2.051255345317262e-05,2920.000702840553,27.137434481756827,2573.31926369914,26.111293291407947,966.6333168702878,1.744091750563238e-07,1.0109419262474201e-08,1.3379735431202827e-06,2.1220614989339533e-08
8,1440.0,1800.0,1745.0,10.0,1615.0,10.0,0.0005084689507042683,1.3638603080227878e-05,0.0016155309231096465,2.1621126259123628e-05,3449.948843883931,28.556935804203476,3084.433214904914,27.595491954287354,986.2915278724033,5.155361638369959e-07,1.3828166109921515e-08,1.6379851975354775e-06,2.1921638428512145e-08
9,1620.0,1980.0,1875.0,10.0,1795.0,10.0,0.0010495103751390477,1.812199477776354e-05,0.0016453872129390664,2.1713160666995255e-05,3827.6864498955833,29.479417010800262,3593.8134997299176,28.916195544927177,1031.405211403533,1.0175538804102776e-06,1.757019896486967e-08,1.5952868908816434e-06,2.105201760368077e-08
