,2D bin minimum (au),2D bin maximum (au),3D distance (au),u 3D distance (au),3D distance kink (au),u 3D distance kink (au),Mass wo kink (Msun),u Mass wo kink (Msun),Mass w kink (Msun),u Mass w kink (Msun),"t_ff streamline (yr, M_env = 0.39 Msun)","u t_ff streamline (yr, M_env = 0.39 Msun)","t_ff streamline kink (yr, M_env = 0.39 Msun)","u t_ff streamline kink (yr, M_env = 0.39 Msun)","t_ff theory (yr, M_env = 0.39 Msun)",Mdot wo kink (Msun yr-1),u Mdot wo kink (Msun yr-1),Mdot w kink (Msun yr-1),u Mdot w kink (Msun yr-1)
0,0.0,360.0,275.0,10.0,275.0,10.0,0.0011226565144302277,8.854719327838975e-06,0.0011226565144302277,8.854719327838975e-06,203.3164813153635,13.858946364535683,203.3164813153635,13.858946364535683,214.4237087454643,5.521719179710173e-06,3.78895971239874e-07,5.521719179710173e-06,3.78895971239874e-07
1,180.0,540.0,405.0,10.0,405.0,10.0,0.0013374090954047769,9.763689386804444e-06,0.0013374090954047769,9.763689386804444e-06,395.42998759539563,15.581002657876866,395.42998759539563,15.581002657876866,388.1339724050862,3.382164067873414e-06,1.3553441959438063e-07,3.382164067873414e-06,1.3553441959438063e-07
2,360.0,720.0,595.0,10.0,595.0,10.0,0.0010199256711189905,8.803138590257963e-06,0.0010199256711189905,8.803138590257963e-06,716.0812583274278,18.00247847136302,716.0812583274278,18.00247847136302,704.6882248318288,1.4243155497481684e-06,3.78592131160513e-08,1.4243155497481684e-06,3.78592131160513e-08
3,540.0,900.0,785.0,10.0,785.0,10.0,0.000795785780982454,8.392441580037559e-06,0.000795785780982454,8.392441580037559e-06,1080.1847894413831,20.17013918051589,1080.1847894413831,20.17013918051589,1089.9446275264092,7.367126335800322e-07,1.5798940384668633e-08,7.367126335800322e-07,1.5798940384668633e-08
4,720.0,1080.0,935.0000000000001,10.0,945.0,10.0,0.0005919941954617183,8.271266784013645e-06,0.0006535336391468641,8.66025428969971e-06,1395.3396348679084,21.72634262259203,1417.1654898858835,21.825855017975073,1441.0748483889854,4.242653047820577e-07,8.87575061627773e-09,4.6115548523517146e-07,9.36943910713836e-09
5,900.0,1260.0,1095.0000000000002,10.0,1105.0,10.0,0.00030850644527496187,7.2807428440397805e-06,0.0007047693898878976,9.787174037725117e-06,1756.173606737914,23.262539730321123,1779.5283620103532,23.354755272439206,1861.4107754462862,1.7566967416621838e-07,4.754190954517699e-09,3.960427970317437e-07,7.567351933010269e-09
6,1080.0,1440.0,1325.0,10.0,1255.0,10.0,0.0001526430221183015,5.821756198209497e-06,0.0010023117261433406,1.11558104200208e-05,2315.886887055379,25.287707233744186,2140.6517978789566,24.691684534031538,2551.020906254604,6.591125973012662e-08,2.614829281202537e-09,4.6822735352684225e-07,7.50518953722705e-09
7,1260.0,1620.0,1555.0,10.0,1425.0,10.0,0.000168589719377305,5.435509512385102e-06,0.0012933298038710502,1.1961597545650248e-05,2920.0006651526464,27.13748335672608,2573.319212146812,26.11138055664651,3347.928594379929,5.7736192114357544e-08,1.9372685055420723e-09,5.025920600002359e-07,6.90033535872586e-09
8,1440.0,1800.0,1745.0,10.0,1615.0000000000002,10.0,0.0005084689507042683,7.878271355636516e-06,0.0016155309231096465,1.2890655424260523e-05,3449.948725967925,28.557164160557477,3084.432981417319,27.595487244747346,4095.3072542759933,1.473844949859686e-07,2.5890439999202697e-09,5.237691766501921e-07,6.278922716297879e-09
9,1620.0,1980.0,1875.0,10.0,1795.0,10.0,0.0010495103751390479,1.0707621922304847e-05,0.0016453872129390667,1.3008717297963117e-05,3827.6860312148706,29.47944715070207,3593.813190818268,28.916096124441083,4658.245175228837,2.7418925339755294e-07,3.504971688547306e-09,4.578388262202443e-07,5.164595120107748e-09
10,1800.0,2160.0,2034.9999999999995,10.0,2015.0,10.0,0.0012838839351933871,1.202493354493187e-05,0.0013824936819845236,1.2419337662529642e-05,4308.663952213883,30.56681279064287,4247.59753634313,30.43357035817371,5415.513857527999,2.979772731019555e-07,3.5010960005550702e-09,3.2547661828967657e-07,3.739938791346417e-09
11,1980.0,2340.0,2225.0,10.0,2225.0,10.0,0.0014157196931420609,1.2992677827398551e-05,0.0014157196931420609,1.2992677827398551e-05,4901.814929445079,31.79533181786428,4901.814929445079,31.79533181786428,6420.717001822242,2.8881541092828055e-07,3.245792559533523e-09,2.8881541092828055e-07,3.245792559533523e-09
12,2160.0,2520.0,2405.0,10.0,2405.0,10.0,0.0016999143636950392,1.41576007060487e-05,0.0016999143636950392,1.41576007060487e-05,5484.7364298968905,32.96385391160038,5484.7364298968905,32.96385391160038,7500.431052036688,3.09935470085478e-07,3.183204274724661e-09,3.09935470085478e-07,3.183204274724661e-09
13,2340.0,2700.0,2585.0,10.0,2585.0,10.0,0.001963430216256222,1.519723467977733e-05,0.001963430216256222,1.519723467977733e-05,6087.142013644351,33.9634910033501,6087.142013644351,33.9634910033501,8736.90104564665,3.225537061325637e-07,3.07766242537418e-09,3.225537061325637e-07,3.07766242537418e-09
14,2520.0,2880.0,2765.0,10.0,2765.0,10.0,0.0021351376275106017,1.61880139260513e-05,0.0021351376275106017,1.61880139260513e-05,6708.205475538457,34.980761025429274,6708.205475538457,34.980761025429274,10183.878097284607,3.182874518820874e-07,2.9288457221996348e-09,3.182874518820874e-07,2.9288457221996348e-09
